,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle,Exports
2022-01-01 21:00:00,-1098548.595,-158897.84148,-956882.2498199999,-2613900.44664,-642381.1417800001,-350917.29666000005,-111654.66563999999,-335594.29932,-279009.69138000003,-602701.65018,-492076.31634,-827946.63252,-407862.32382,-359738.80362,-286478.95122,-28766.28636,-509210.41248000006,-1041407.3451599999,0.0
2022-01-01 22:00:00,-983887.049,-154006.29971999998,-952888.7781000001,-2346904.7431199998,-643333.17006,-325075.53078000003,-95980.122,-290839.23288,-275682.59208000003,-586906.94664,-437323.46364000003,-820334.2077,-379857.45545999997,-338861.68092,-275260.01454,-25806.1356,-481239.37764,-961261.65954,0.0
2022-01-01 23:00:00,-900318.231,-152121.49722,-934695.9153,-2137840.5132,-636087.6988199999,-297555.68808,-83933.39304000001,-257701.21902000002,-270451.46646,-565136.86824,-390263.70348,-803740.1085,-355469.89590000006,-324866.17674,-264650.76918,-23145.86358,-454556.70414,-884399.31846,0.0
2022-01-02 00:00:00,-835301.526,-150481.48374,-929291.2524,-1923637.88988,-632715.15762,-296224.95672,-78189.16014,-235845.72018,-269049.1167,-560565.5970600001,-366501.28536000004,-792352.30032,-335152.94778,-296446.3866,-250044.59592000002,-20885.61258,-440514.10115999996,-834108.57054,0.0
2022-01-02 01:00:00,-786009.892,-148611.7017,-899679.89034,-1829434.37922,-609849.03798,-290028.85506,-73670.30874000001,-223987.00086,-261138.89466,-543639.9969,-342247.53528,-768965.39118,-317085.86826,-293391.70182,-241731.91602,-19762.26336,-419618.19941999996,-791609.79744,-2251.1286
2022-01-02 02:00:00,-764185.958,-148171.2309,-871499.59092,-1781836.15176,-589395.8196,-290263.62078,-71406.20844,-215512.60752000002,-258677.72532,-528448.3923599999,-331170.88409999997,-746386.6019400001,-305689.39254,-289919.12418,-234331.713,-19183.442039999998,-409144.81986,-767015.84106,-57.3426
2022-01-02 03:00:00,-759075.674,-145912.48434,-848876.63868,-1743509.54736,-576522.92628,-286605.40482,-70988.92038,-209193.10272,-257124.24738000002,-515951.36082,-322747.13772,-723793.09716,-300244.392,-286491.24882000004,-228981.23262,-18670.2264,-404351.42706,-751046.48262,-3383.4024
2022-01-02 04:00:00,-761443.65,-146017.46628,-834138.26874,-1801714.24188,-562873.75452,-284119.70958,-70825.23126,-208649.06496000002,-257076.61307999998,-507016.55844,-322671.85902000003,-708295.0215599999,-293605.9308,-295028.62200000003,-226513.24416,-18572.37984,-398547.77256,-743007.5541000001,-4123.35
2022-01-02 05:00:00,-761925.773,-146604.90726,-818296.24464,-1838145.59964,-551835.45144,-287600.00724,-71454.66048,-213430.13748,-256809.8799,-502728.72804,-326183.48784,-693776.54934,-291531.28284,-298882.67975999997,-220556.889,-18657.70956,-396719.6499,-734127.0438600001,-4481.5176
2022-01-02 06:00:00,-781615.092,-146889.98478,-779316.35922,-1881795.91068,-521803.233,-285183.06264,-71642.77596,-216795.74364,-252611.73630000002,-469899.54773999995,-320716.23192,-651060.4968,-275385.12624,-286182.43038,-216413.69274,-18871.48368,-394298.41751999996,-693529.10676,0.0
2022-01-02 07:00:00,-838941.318,-148746.66408,-772087.2238800001,-1944441.53064,-518449.35365999996,-290484.70038,-79318.86984,-236981.39724,-252143.02260000003,-449008.78302000003,-348682.68288,-632003.59152,-291065.8653,-259679.97467999998,-225732.8241,-19790.0262,-417258.16398,-720993.58128,0.0
2022-01-02 08:00:00,-905774.663,-149862.74436,-785758.76694,-2113748.36064,-529949.2312800001,-295548.28758,-84208.08564,-262006.84314,-253273.83228,-446377.63086000003,-384045.84918,-632877.21378,-309480.53724,-272342.50848,-229752.46728,-21690.00414,-443572.80408,-770129.77104,0.0
2022-01-02 09:00:00,-962498.278,-152752.59342000002,-797005.94778,-2274672.06036,-525762.89136,-314510.04774,-90054.64062,-273965.93532,-252961.30314000003,-444110.60232,-412927.19244,-635537.40012,-329121.38321999996,-264080.64312,-238632.20514,-23215.220279999998,-468023.2263,-818387.27586,0.0
2022-01-02 10:00:00,-1007090.512,-154092.79242,-808363.79442,-2382433.86402,-543498.8290200001,-311407.65936,-93305.8854,-281987.66358,-254190.6612,-448110.87174,-433669.37292,-639284.5204200001,-338798.43773999996,-271932.81570000004,-255251.31534000003,-24461.10072,-485964.64602000004,-860585.76828,0.0
2022-01-02 11:00:00,-1057393.678,-156137.9463,-822878.7399,-2418913.9548,-550040.5562400001,-320826.69486,-101155.824,-289304.39664,-255754.17630000002,-463719.32082,-451285.47198,-659271.6660600001,-354569.70024,-276763.28148,-265374.42498,-25108.503839999998,-494351.11656000005,-900994.91202,0.0
2022-01-02 12:00:00,-1027212.594,-155055.40344,-829693.84932,-2403875.40624,-553408.23132,-317223.88488,-100455.96204,-286554.27906,-256073.36706000002,-470751.95664,-458214.14268,-683220.66246,-361290.78972,-278710.99074,-258281.20962,-26239.74066,-494914.22442,-928004.35896,0.0
2022-01-02 13:00:00,-1010970.123,-153958.70574,-834587.99298,-2437415.55162,-565213.95756,-310610.35026000004,-100460.94534,-278639.53488,-258290.20223999998,-475337.57166,-453481.35462,-704711.95956,-358052.28479999996,-280630.05516,-251861.41764,-25937.09118,-490212.27485999995,-921879.67536,0.0
2022-01-02 14:00:00,-987130.586,-153979.71246,-837478.7316,-2390325.1608599997,-574824.07206,-305987.58791999996,-97931.61504,-270708.03648,-259601.92524,-478365.90479999996,-441502.8975,-720754.4421,-358298.51904,-278613.12654,-258818.11326,-26077.59126,-489231.66222,-900317.46168,0.0
2022-01-02 15:00:00,-982603.098,-153709.83179999999,-831984.3793799999,-2265358.90266,-574989.4873800001,-303045.79788,-97947.09035999999,-266546.4669,-259868.3535,-478043.19234,-430361.68266,-723142.1106000001,-357824.98836,-276901.33716,-262645.88238,-26445.070260000004,-484599.0807,-888614.5073400001,0.0
2022-01-02 16:00:00,-970687.236,-151737.5412,-812875.8367799999,-2258789.5852200002,-565001.9575199999,-299825.26434,-97683.87636,-270793.03608,-257524.15752,-468865.6875,-427831.19568000006,-705706.24194,-355318.60770000005,-297483.48378,-248289.76746000003,-26337.839219999998,-477327.47202,-882493.46388,0.0
2022-01-02 17:00:00,-1008372.217,-156863.4669,-812299.65264,-2305548.20412,-545685.18354,-306381.97674,-103889.30076,-280258.55172,-261026.37918000002,-474238.53288,-434943.99396,-696401.50986,-353373.38315999997,-299466.18198,-248648.32818,-26357.3352,-487693.61802000005,-890316.07938,0.0
2022-01-02 18:00:00,-1113281.17,-171736.98066,-919166.7643200001,-2771089.71048,-614358.92826,-349624.52406,-126669.17718,-345869.2125,-284620.4487,-585011.19726,-517593.72672000004,-802666.63512,-412391.74788,-331646.57441999996,-276422.84586,-29308.09896,-540758.18538,-1023840.71496,0.0
